   Z    A                         m(KeV)      Element   BETA_GS   BETA_2+ E_2+(MeV)
  48  108                       -89252.6         Cd     0.175     0.175     0.633
  48  110                       -90348.8         Cd     0.177     0.177     0.658
  48  112                       -90575.8         Cd     0.186     0.186     0.618
  48  114                       -90014.8         Cd     0.190     0.190     0.558
  48  116                      -88712.56         Cd     0.191     0.191     0.513
  48  118                         -86702         Cd     0.190     0.190     0.488
  48  120                         -83957         Cd     0.172     0.172     0.506
  48  122                       -80612.4         Cd     0.090     0.182     0.569
  48  124                       -76701.7         Cd     0.050     0.144     0.613
  48  126                       -72256.8         Cd     0.050     0.124     0.652
  50  102                         -64930         Sn     0.000     0.104     1.472
  50  104                         -71627         Sn     0.050     0.110     1.260
  50  106                         -77354         Sn     0.060     0.119     1.208
  50  108                         -82070         Sn     0.061     0.121     1.206
  50  110                         -85842         Sn     0.082     0.122     1.212
  50  112                       -88656.0         Sn     0.123     0.123     1.257
  50  114                       -90557.3         Sn     0.121     0.121     1.300
  50  116                      -91525.99         Sn     0.112     0.112     1.294
  50  118                       -91652.9         Sn     0.111     0.111     1.230
  50  120                       -91098.6         Sn     0.108     0.108     1.171
  50  122                       -89941.5         Sn     0.104     0.104     1.140
  50  124                       -88234.2         Sn     0.095     0.095     1.132
  50  126                         -86015         Sn     0.083     0.083     1.141
  50  128                         -83362         Sn     0.032     0.064     1.169
  50  130                       -80132.9         Sn     0.000     0.034     1.221
  50  132                       -76543.9         Sn     0.000     0.077     4.041
  50  134                         -66432         Sn     0.000     0.038     0.726
  52  108                         -65782         Te     0.087     0.173     0.625
  52  110                         -72230         Te     0.083     0.165     0.658
  52  112                         -77568         Te     0.079     0.158     0.689
  52  114                         -81889         Te     0.077     0.154     0.709
  52  116                         -85269         Te     0.082     0.163     0.679
  52  118                         -87697         Te     0.086     0.172     0.606
  52  120                         -89368         Te     0.100     0.201     0.560
  52  122                       -90314.4         Te     0.093     0.185     0.564
  52  124                       -90525.3         Te     0.085     0.170     0.603
  52  126                       -90065.3         Te     0.075     0.153     0.666
  52  128                       -88993.7         Te     0.050     0.136     0.743
  52  130                     -87352.947         Te     0.030     0.118     0.839
  52  132                         -85188         Te     0.000     0.098     0.974
  52  134                       -82536.0         Te     0.000     0.069     1.279
  52  136                       -74425.8         Te     0.000     0.074     0.606
  52  138                         -65696         Te     0.045     0.090     0.443
  54  112                         -60026         Xe     0.194     0.194     0.466
  54  114                         -67086         Xe     0.221     0.221     0.450
  54  116                         -73047         Xe     0.249     0.249     0.394
  54  118                         -78079         Xe     0.265     0.265     0.337
  54  120                         -82172         Xe     0.291     0.291     0.322
  54  122                         -85355         Xe     0.259     0.259     0.331
  54  124                       -87661.1         Xe     0.212     0.212     0.354
  54  126                         -89146         Xe     0.188     0.188     0.389
  54  128                       -89860.3         Xe     0.184     0.184     0.443
  54  130                     -89880.462         Xe     0.169     0.169     0.536
  54  132                     -89278.963         Xe     0.070     0.141     0.668
  54  134                       -88124.3         Xe     0.050     0.119     0.847
  54  136                     -86429.152         Xe     0.000     0.122     1.313
  54  138                       -79972.2         Xe     0.050     0.124     0.589
  54  140                       -72986.5         Xe     0.144     0.144     0.377
  54  142                       -65229.6         Xe     0.164     0.164     0.287
  54  144                         -56872         Xe     0.168     0.168     0.253
  56  118                        -62350#         Ba     0.348     0.348     0.194
  56  120                         -68890         Ba     0.351     0.351     0.183
  56  122                         -74609         Ba     0.351     0.351     0.196
  56  124                         -79090         Ba     0.302     0.302     0.230
  56  126                         -82670         Ba     0.273     0.273     0.256
  56  128                         -85379         Ba     0.249     0.249     0.284
  56  130                       -87261.7         Ba     0.218     0.218     0.357
  56  132                       -88435.0         Ba     0.186     0.186     0.465
  56  134                      -88950.05         Ba     0.161     0.161     0.605
  56  136                      -88887.14         Ba     0.060     0.126     0.819
  56  138                      -88261.86         Ba     0.050     0.093     1.436
  56  140                         -83270         Ba     0.060     0.126     0.602
  56  142                         -77843         Ba     0.160     0.160     0.360
  56  144                         -71767         Ba     0.194     0.194     0.199
  56  146                         -64940         Ba     0.218     0.218     0.181
  56  148                         -57590         Ba     0.244     0.244     0.142
  58  124                        -64920#         Ce     0.385     0.385     0.142
  58  126                         -70821         Ce     0.325     0.325     0.170
  58  128                         -75534         Ce     0.298     0.298     0.207
  58  130                         -79423         Ce     0.258     0.258     0.254
  58  132                         -82471         Ce     0.264     0.264     0.326
  58  134                         -84833         Ce     0.195     0.195     0.409
  58  136                       -86508.6         Ce     0.170     0.170     0.552
  58  138                         -87569         Ce     0.050     0.126     0.789
  58  140                       -88079.2         Ce     0.000     0.102     1.596
  58  142                       -84532.7         Ce     0.050     0.128     0.641
  58  144                         -80432         Ce     0.166     0.166     0.397
  58  146                         -75635         Ce     0.193     0.193     0.258
  58  148                         -70398         Ce     0.251     0.251     0.158
  58  150                         -64847         Ce     0.320     0.320     0.097
  58  152                        -59060#         Ce     0.430     0.430     0.082
  60  128                        -60310#         Nd     0.396     0.396     0.134
  60  130                         -66596         Nd     0.370     0.370     0.158
  60  132                         -71426         Nd     0.349     0.349     0.213
  60  134                         -75646         Nd     0.249     0.249     0.294
  60  136                         -79199         Nd     0.210     0.210     0.374
  60  138                         -82018         Nd     0.110     0.110     0.520
  60  140                         -84254         Nd     0.050     0.100     0.774
  60  142                       -85949.9         Nd     0.050     0.092     1.576
  60  144                       -83747.9         Nd     0.060     0.124     0.697
