  Z     A  Element   m      d      beta       
 25    56    Mn     nan    0.55     0.1    
 25    57    Mn     nan    0.55     0.1    
 25    58    Mn     nan    0.55     0.1    
 25    59    Mn     nan    0.55     0.1    
 25    60    Mn     nan    0.55     0.1    
 25    61    Mn     nan    0.55     0.1    
 25    62    Mn     nan    0.55     0.1    
 25    63    Mn     nan    0.55     0.1    
 25    64    Mn     nan    0.55     0.1    
 25    65    Mn     nan    0.55     0.1    
 25    66    Mn     nan    0.55     0.1    
 25    67    Mn     nan    0.55     0.1    
 26    45    Fe     nan    0.55     0.1    
 26    46    Fe     nan    0.55     0.1    
 26    47    Fe     nan    0.55     0.1    
 26    48    Fe     nan    0.55     0.1    
 26    49    Fe     nan    0.55     0.1    
 26    50    Fe     nan    0.55     0.1    
 26    51    Fe     nan    0.55     0.1    
 26    52    Fe     nan    0.55     0.1    
 26    53    Fe     nan    0.55     0.1    
 26    54    Fe     nan    0.55     0.1    
 26    55    Fe     nan    0.55     0.1    
 26    56    Fe     nan    0.55     0.1    
 26    57    Fe     nan    0.55     0.1    
 26    58    Fe     nan    0.55     0.1    
 26    59    Fe     nan    0.55     0.1    
 26    60    Fe     nan    0.55     0.1    
 26    61    Fe     nan    0.55     0.1    
 26    62    Fe     nan    0.55     0.1    
 26    63    Fe     nan    0.55     0.1    
 26    64    Fe     nan    0.55     0.1    
 26    65    Fe     nan    0.55     0.1    
 26    66    Fe     nan    0.55     0.1    
 26    67    Fe     nan    0.55     0.1    
 26    68    Fe     nan    0.55     0.1    
 26    69    Fe     nan    0.55     0.1    
 27    48    Co     nan    0.55     0.1    
 27    49    Co     nan    0.55     0.1    
 27    50    Co     nan    0.55     0.1    
 27    51    Co     nan    0.55     0.1    
 27    52    Co     nan    0.55     0.1    
 27    53    Co     nan    0.55     0.1    
 27    54    Co     nan    0.55     0.1    
 27    55    Co     nan    0.55     0.1    
 27    56    Co     nan    0.55     0.1    
 27    57    Co     nan    0.55     0.1    
 27    58    Co     nan    0.55     0.1    
 27    59    Co     nan    0.55     0.1    
 27    60    Co     nan    0.55     0.1    
 27    61    Co     nan    0.55     0.1    
 27    62    Co     nan    0.55     0.1    
 27    63    Co     nan    0.55     0.1    
 27    64    Co     nan    0.55     0.1    
 27    65    Co     nan    0.55     0.1    
 27    66    Co     nan    0.55     0.1    
 27    67    Co     nan    0.55     0.1    
 27    68    Co     nan    0.55     0.1    
 27    69    Co     nan    0.55     0.1    
 27    70    Co     nan    0.55     0.1    
 27    71    Co     nan    0.55     0.1    
 27    72    Co     nan    0.55     0.1    
 28    50    Ni     nan    0.55     0.1    
 28    51    Ni     nan    0.55     0.1    
 28    52    Ni     nan    0.55     0.1    
 28    53    Ni     nan    0.55     0.1    
 28    54    Ni     nan    0.55     0.1    
 28    55    Ni     nan    0.55     0.1    
 28    56    Ni     nan    0.55     0.1    
 28    57    Ni     nan    0.55     0.1    
 28    58    Ni     nan    0.55     0.1    
 28    59    Ni     nan    0.55     0.1    
 28    60    Ni     nan    0.55     0.1    
 28    61    Ni     nan    0.55     0.1    
 28    62    Ni     nan    0.55     0.1    
 28    63    Ni     nan    0.55     0.1    
 28    64    Ni     nan    0.55     0.1    
 28    65    Ni     nan    0.55     0.1    
 28    66    Ni     nan    0.55     0.1    
 28    67    Ni     nan    0.55     0.1    
 28    68    Ni     nan    0.55     0.1    
 28    69    Ni     nan    0.55     0.1    
 28    70    Ni     nan    0.55     0.1    
 28    71    Ni     nan    0.55     0.1    
 28    72    Ni     nan    0.55     0.1    
 28    73    Ni     nan    0.55     0.1    
 28    74    Ni     nan    0.55     0.1    
 28    75    Ni     nan    0.55     0.1    
 28    76    Ni     nan    0.55     0.1    
 28    77    Ni     nan    0.55     0.1    
 28    78    Ni     nan    0.55     0.1    
 29    52    Cu     nan    0.55     0.1    
 29    53    Cu     nan    0.55     0.1    
 29    54    Cu     nan    0.55     0.1    
 29    55    Cu     nan    0.55     0.1    
 29    56    Cu     nan    0.55     0.1    
 29    57    Cu     nan    0.55     0.1    
 29    58    Cu     nan    0.55     0.1    
 29    59    Cu     nan    0.55     0.1    
 29    60    Cu     nan    0.55     0.1    
 29    61    Cu     nan    0.55     0.1    
 29    62    Cu     nan    0.55     0.1    
 29    63    Cu     nan    0.55     0.1    
 29    64    Cu     nan    0.55     0.1    
 29    65    Cu     nan    0.55     0.1    
 29    66    Cu     nan    0.55     0.1    
 29    67    Cu     nan    0.55     0.1    
 29    68    Cu     nan    0.55     0.1    
 29    69    Cu     nan    0.55     0.1    
 29    70    Cu     nan    0.55     0.1    
 29    71    Cu     nan    0.55     0.1    
 29    72    Cu     nan    0.55     0.1    
 29    73    Cu     nan    0.55     0.1    
 29    74    Cu     nan    0.55     0.1    
 29    75    Cu     nan    0.55     0.1    
 29    76    Cu     nan    0.55     0.1    
 29    77    Cu     nan    0.55     0.1    
 29    78    Cu     nan    0.55     0.1    
 29    79    Cu     nan    0.55     0.1    
 29    80    Cu     nan    0.55     0.1    
 30    54    Zn     nan    0.55     0.1    
 30    55    Zn     nan    0.55     0.1    
 30    56    Zn     nan    0.55     0.1    
 30    57    Zn     nan    0.55     0.1    
 30    58    Zn     nan    0.55     0.1    
 30    59    Zn     nan    0.55     0.1    
 30    60    Zn     nan    0.55     0.1    
 30    61    Zn     nan    0.55     0.1    
 30    62    Zn     nan    0.55     0.1    
 30    63    Zn     nan    0.55     0.1    
 30    64    Zn     nan    0.55     0.1    
 30    65    Zn     nan    0.55     0.1    
 30    66    Zn     nan    0.55     0.1    
 30    67    Zn     nan    0.55     0.1    
 30    68    Zn     nan    0.55     0.1    
 30    69    Zn     nan    0.55     0.1    
 30    70    Zn     nan    0.55     0.1    
 30    71    Zn     nan    0.55     0.1    
 30    72    Zn     nan    0.55     0.1    
 30    73    Zn     nan    0.55     0.1    
 30    74    Zn     nan    0.55     0.1    
 30    75    Zn     nan    0.55     0.1    
 30    76    Zn     nan    0.55     0.1    
 30    77    Zn     nan    0.55     0.1    
 30    78    Zn     nan    0.55     0.1    
 30    79    Zn     nan    0.55     0.1    
 30    80    Zn     nan    0.55     0.1    
 30    81    Zn     nan    0.55     0.1    
 30    82    Zn     nan    0.55     0.1    
 31    56    Ga     nan    0.55     0.1    
 31    57    Ga     nan    0.55     0.1    
 31    58    Ga     nan    0.55     0.1    
